system,run_dirname,run_path,learning_rate,lora_rank,retrieval_docs,es_threshold,year_group,replication,n_samples,rouge1,rouge2,rougeL,bertscore_precision,bertscore_recall,bertscore_f1,precision,recall,fpr,tp,fp,fn,tn,leak_rate,copy_rate,suppress_rate,any_summary_canary_rate,cesr_types_any,cesr_types_leak,n_true_pos,n_pred_pos
baseline,lr0.0003_r8_doc3_th0.5_yr2018-2022_rep2,summaries_output/baseline/checkpoints/lr0.0003_r8_doc3_th0.5_yr2018-2022_rep2/generated_summaries.jsonl,0.0003,8.0,3.0,0.5,2018-2022,2.0,98,0.65680398458628,0.650652710700202,0.65680398458628,0.9127349853515625,0.9798873662948608,0.9447313547134399,1.0,1.0,0.0,21,0,0,77,0.0,0.21428571428571427,0.0,0.21428571428571427,0.22,0.0,21,21
dpdd,lr0.0003_r4_doc3_th0.5_yrpre-2018_rep1,summaries_output/dpdd/checkpoints_dpdd/lr0.0003_r4_doc3_th0.5_yrpre-2018_rep1/generated_summaries.jsonl,0.0003,4.0,3.0,0.5,pre-2018,1.0,50,0.5876046814845299,0.5801926004579481,0.5876046814845299,0.8818145990371704,0.975859522819519,0.9263951778411865,0.0,0.0,0.0,0,0,0,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0
dpdd,lr0.0001_r8_doc3_th0.5_yrpost-2022_rep2,summaries_output/dpdd/checkpoints_dpdd/lr0.0001_r8_doc3_th0.5_yrpost-2022_rep2/generated_summaries.jsonl,0.0001,8.0,3.0,0.5,post-2022,2.0,35,0.5774667448553696,0.5705967392082544,0.5774667448553696,0.8872142434120178,0.9780157804489136,0.9303818941116333,0.0,0.0,0.0,0,0,0,35,0.0,0.0,0.0,0.0,0.0,0.0,0,0
dpdd,lr0.0001_r8_doc3_th0.5_yr2018-2022_rep2,summaries_output/dpdd/checkpoints_dpdd/lr0.0001_r8_doc3_th0.5_yr2018-2022_rep2/generated_summaries.jsonl,0.0001,8.0,3.0,0.5,2018-2022,2.0,98,0.6650161195760007,0.6593204373360726,0.6650161195760007,0.9102931022644043,0.9817249774932861,0.9441961050033569,1.0,1.0,0.0,21,0,0,77,0.0,0.21428571428571427,0.0,0.21428571428571427,0.22,0.0,21,21
dpdd,lr0.0003_r8_doc3_th0.5_yrpost-2022_rep1,summaries_output/dpdd/checkpoints_dpdd/lr0.0003_r8_doc3_th0.5_yrpost-2022_rep1/generated_summaries.jsonl,0.0003,8.0,3.0,0.5,post-2022,1.0,35,0.5919927194930841,0.5853117281135375,0.5919927194930841,0.8921268582344055,0.979732096195221,0.9337986707687378,0.0,0.0,0.0,0,0,0,35,0.0,0.0,0.0,0.0,0.0,0.0,0,0
dpdd,lr0.0003_r8_doc3_th0.5_yrpost-2022_rep2,summaries_output/dpdd/checkpoints_dpdd/lr0.0003_r8_doc3_th0.5_yrpost-2022_rep2/generated_summaries.jsonl,0.0003,8.0,3.0,0.5,post-2022,2.0,35,0.5743754251144451,0.5674672327019324,0.5743754251144451,0.8876066207885742,0.9785951972007751,0.9308574199676514,0.0,0.0,0.0,0,0,0,35,0.0,0.0,0.0,0.0,0.0,0.0,0,0
dpdd,lr0.0001_r8_doc3_th0.5_yr2018-2022_rep1,summaries_output/dpdd/checkpoints_dpdd/lr0.0001_r8_doc3_th0.5_yr2018-2022_rep1/generated_summaries.jsonl,0.0001,8.0,3.0,0.5,2018-2022,1.0,98,0.660604609667178,0.653822027829372,0.660604609667178,0.9087603688240051,0.9799935221672058,0.9425956606864929,1.0,1.0,0.0,19,0,0,79,0.0,0.19387755102040816,0.0,0.19387755102040816,0.19,0.0,19,19
dpdd,lr0.0003_r4_doc3_th0.5_yrpre-2018_rep2,summaries_output/dpdd/checkpoints_dpdd/lr0.0003_r4_doc3_th0.5_yrpre-2018_rep2/generated_summaries.jsonl,0.0003,4.0,3.0,0.5,pre-2018,2.0,51,0.6098457897218321,0.6034151987417192,0.6098457897218321,0.886080265045166,0.9793120622634888,0.9301769733428955,0.0,0.0,0.0,0,0,0,51,0.0,0.0,0.0,0.0,0.0,0.0,0,0
dpdd,lr0.0001_r4_doc3_th0.5_yrpost-2022_rep2,summaries_output/dpdd/checkpoints_dpdd/lr0.0001_r4_doc3_th0.5_yrpost-2022_rep2/generated_summaries.jsonl,0.0001,4.0,3.0,0.5,post-2022,2.0,35,0.5716093668626968,0.5647163350026579,0.5716093668626968,0.8880900740623474,0.9776646494865417,0.9307039380073547,0.0,0.0,0.0,0,0,0,35,0.0,0.0,0.0,0.0,0.0,0.0,0,0
dpdd,lr0.0003_r4_doc3_th0.5_yr2018-2022_rep2,summaries_output/dpdd/checkpoints_dpdd/lr0.0003_r4_doc3_th0.5_yr2018-2022_rep2/generated_summaries.jsonl,0.0003,4.0,3.0,0.5,2018-2022,2.0,98,0.7381516924833885,0.7338078220222224,0.7381516924833885,0.9334623217582703,0.984372615814209,0.9577422738075256,1.0,1.0,0.0,21,0,0,77,0.0,0.21428571428571427,0.0,0.21428571428571427,0.22,0.0,21,21
