"filename","category","token_count","FAC","NORP","ORG","PERSON","total_pii_entities","token_score","pii_score","dpdd_risk_score"
"Audit Committee-08 Sep 2021.pdf","Audit Committee","891","0","2","16","20","38","0.04544758990053558","0.033101045296167246","0.03927431759835141"
"Regular Council-25 Jan 2010.pdf","Regular Council","904","4","0","26","32","62","0.04611068604947718","0.05400696864111498","0.050058827345296084"
"Special Council-27 Feb 2023.pdf","Special Council","1526","1","0","41","51","93","0.07783728640652894","0.08101045296167247","0.0794238696841007"
"Committee of the Whole-04 Apr 2022.pdf","Committee of the Whole","5194","10","0","162","67","239","0.26493241520020405","0.20818815331010454","0.2365602842551543"
"Whitby Sustainability Advisory Committee-01 Feb 2023.pdf","Whitby Sustainability Advisory Committee","1765","1","0","65","34","100","0.09002805406783984","0.08710801393728224","0.08856803400256104"
"Regular Council-06 Apr 2009.pdf","Regular Council","377","0","0","10","16","26","0.019229788319306298","0.02264808362369338","0.020938935971499838"
"Committee of Adjustment-13 Jun 2019.pdf","Committee of Adjustment","4974","18","0","88","100","206","0.25371078806426933","0.1794425087108014","0.21657664838753538"
"Special Council-29 Jan 2015.pdf","Special Council","450","1","0","5","20","26","0.022953328232593728","0.02264808362369338","0.022800705928143553"
"Regular Council-30 Mar 2009.pdf","Regular Council","7250","25","1","256","103","385","0.36980362152512114","0.3353658536585366","0.35258473759182885"
"Special Council-28 Sep 2020.pdf","Special Council","1004","1","0","33","35","69","0.051211425656720225","0.06010452961672474","0.05565797763672248"
"Whitby Diversity and Inclusion Advisory Committee-07 Oct 2021.pdf","Whitby Diversity and Inclusion Advisory Committee","1848","3","3","57","41","104","0.09426166794185156","0.09059233449477352","0.09242700121831254"
"Whitby Sustainability Advisory Committee-07 Feb 2024.pdf","Whitby Sustainability Advisory Committee","1544","1","0","58","39","98","0.07875541953583269","0.08536585365853659","0.08206063659718464"
"Public Meetings-22 Jan 2024.pdf","Public Meetings","409","1","0","14","9","24","0.020862024993624075","0.020905923344947737","0.020883974169285904"
"Whitby Sustainability Advisory Committee-07 Feb 2018.pdf","Whitby Sustainability Advisory Committee","964","4","0","39","22","65","0.049171129813823","0.05662020905923345","0.05289566943652822"
"Special Council-06 Feb 2013.pdf","Special Council","1061","5","0","22","42","69","0.054118847232848766","0.06010452961672474","0.057111688424786755"
"Committee of the Whole-20 Sep 2021.pdf","Committee of the Whole","3881","14","0","142","57","213","0.1979597041571028","0.18554006968641115","0.19174988692175698"
"Whitby Sustainability Advisory Committee-06 Jun 2018.pdf","Whitby Sustainability Advisory Committee","1394","1","0","48","39","88","0.07110431012496812","0.07665505226480836","0.07387968119488825"
"Heritage Whitby Advisory Committee-11 Feb 2025.pdf","Heritage Whitby Advisory Committee","1127","6","1","41","29","77","0.057485335373629175","0.06707317073170732","0.06227925305266825"
"Regular Council-16 Sep 2013.pdf","Regular Council","4861","26","0","138","138","302","0.24794695230808467","0.26306620209059234","0.2555065771993385"
"Special Council-26 Feb 2018.pdf","Special Council","1451","0","0","46","32","78","0.07401173170109666","0.06794425087108014","0.0709779912860884"
"Committee of the Whole-27 Sep 2021.pdf","Committee of the Whole","12314","45","5","312","186","548","0.6281050752359092","0.47735191637630664","0.552728495806108"
"Committee of the Whole-28 Feb 2022.pdf","Committee of the Whole","8301","14","0","157","116","287","0.42341239479724563","0.25","0.33670619739862284"
"Regular Council-16 Mar 2011.pdf","Regular Council","571","1","0","13","23","37","0.029125223157357816","0.032229965156794424","0.03067759415707612"
"Whitby Diversity and Inclusion Advisory Committee-06 Jun 2024.pdf","Whitby Diversity and Inclusion Advisory Committee","1227","4","0","42","34","80","0.06258607498087222","0.06968641114982578","0.066136243065349"
"Regular Council-01 Nov 2011.pdf","Regular Council","368","0","0","11","19","30","0.018770721754654426","0.02613240418118467","0.022451562967919548"
"Special Council-08 May 2017.pdf","Special Council","833","1","0","18","28","47","0.04248916092833461","0.040940766550522645","0.04171496373942862"
"Special Council-28 Jan 2013.pdf","Special Council","432","1","0","5","20","26","0.022035195103289978","0.02264808362369338","0.022341639363491678"
"Committee of Adjustment-07 Feb 2019.pdf","Committee of Adjustment","2196","4","0","45","53","102","0.11201224177505738","0.08885017421602788","0.10043120799554263"
"In Camera Council Session-30 Jun 2014.pdf","In Camera Council Session","414","2","0","7","17","26","0.021117061973986228","0.02264808362369338","0.021882572798839803"
"Committee of the Whole-15 Jan 2024.pdf","Committee of the Whole","6422","18","2","230","115","365","0.3275694975771487","0.31794425087108014","0.3227568742241144"
"Whitby Sustainability Advisory Committee-07 Oct 2020.pdf","Whitby Sustainability Advisory Committee","1476","3","0","37","31","71","0.07528691660290743","0.06184668989547038","0.0685668032491889"
"Committee of the Whole-05 May 2025.pdf","Committee of the Whole","1726","12","0","58","39","109","0.08803876562101505","0.09494773519163763","0.09149325040632633"
"Regular Council-13 May 2008.pdf","Regular Council","977","0","0","42","30","72","0.0498342259627646","0.0627177700348432","0.0562759979988039"
"Heritage Whitby Advisory Committee-18 Jul 2023.pdf","Heritage Whitby Advisory Committee","661","0","0","16","23","39","0.03371588880387656","0.03397212543554007","0.033844007119708315"
"Regular Council-11 Mar 2010.pdf","Regular Council","849","2","0","36","34","72","0.0433052792654935","0.0627177700348432","0.053011524650168354"
"Special Council-26 Oct 2020.pdf","Special Council","1313","1","3","25","38","67","0.06697271104310125","0.05836236933797909","0.06266754019054017"
"Committee of Adjustment-15 Jun 2023.pdf","Committee of Adjustment","2238","5","0","33","40","78","0.11415455241009946","0.06794425087108014","0.0910494016405898"
"Regular Council-16 Apr 2012.pdf","Regular Council","5000","23","0","172","81","276","0.2550369803621525","0.24041811846689895","0.24772754941452574"
"Property Standards Appeal Committee-12 Dec 2019.pdf","Property Standards Appeal Committee","1812","4","0","39","56","99","0.09242540168324408","0.08623693379790941","0.08933116774057674"
"Regular Council-21 Jan 2019.pdf","Regular Council","7110","12","0","210","161","383","0.36266258607498086","0.3336236933797909","0.34814313972738586"
"Special Council-01 Jun 2015.pdf","Special Council","636","0","0","12","23","35","0.0324407039020658","0.03048780487804878","0.03146425439005729"
"Committee of the Whole-27 Apr 2020.pdf","Committee of the Whole","5759","22","1","158","77","258","0.29375159398112727","0.22473867595818817","0.25924513496965773"
"Regular Council-23 Nov 2015.pdf","Regular Council","6712","15","1","224","122","362","0.34236164243815354","0.3153310104529617","0.3288463264455576"
"Regular Council-06 Apr 2020.pdf","Regular Council","3118","11","0","96","62","169","0.1590410609538383","0.14721254355400698","0.15312680225392264"
"Committee of Adjustment-09 Sep 2021.pdf","Committee of Adjustment","650","3","0","14","12","29","0.033154807447079826","0.025261324041811847","0.029208065744445837"
"Special Council-09 Jan 2023.pdf","Special Council","3062","1","0","117","182","300","0.1561846467737822","0.2613240418118467","0.20875434429281445"
"Downtown Whitby Development Steering Committee-17 Jun 2021.pdf","Downtown Whitby Development Steering Committee","2354","25","1","94","46","166","0.1200714103545014","0.1445993031358885","0.13233535674519495"
"Downtown Whitby Development Steering Committee-18 Apr 2019.pdf","Downtown Whitby Development Steering Committee","1815","11","0","54","46","111","0.09257842387146137","0.09668989547038327","0.09463415967092231"
"Regular Council-22 Jul 2008.pdf","Regular Council","787","0","0","22","28","50","0.040142820709002804","0.04355400696864112","0.04184841383882196"
"Committee of Adjustment-14 Jun 2018.pdf","Committee of Adjustment","3872","10","1","62","93","166","0.1975006375924509","0.1445993031358885","0.1710499703641697"
"Brooklin Downtown Development Steering Committee-23 Jun 2022.pdf","Brooklin Downtown Development Steering Committee","160","0","0","6","15","21","0.00816118337158888","0.018292682926829267","0.013226933149209074"
"Committee of the Whole-03 Apr 2023.pdf","Committee of the Whole","6884","23","0","252","134","409","0.3511349145626116","0.35627177700348434","0.35370334578304796"
"Committee of the Whole-07 Jan 2019.pdf","Committee of the Whole","3865","14","0","145","66","225","0.1971435858199439","0.19599303135888502","0.19656830858941446"
"Regular Council-16 May 2011.pdf","Regular Council","533","0","0","12","26","38","0.02718694210660546","0.033101045296167246","0.030143993701386353"
"Regular Council-12 Dec 2011.pdf","Regular Council","7533","27","0","270","153","450","0.38423871461361897","0.39198606271777003","0.38811238866569453"
"Regular Council-03 Nov 2008.pdf","Regular Council","513","0","0","21","28","49","0.02616679418515685","0.042682926829268296","0.03442486050721257"
"Regular Council-16 Dec 2019.pdf","Regular Council","4275","15","2","132","102","251","0.2180566182096404","0.2186411149825784","0.21834886659610941"
"Active Transportation and Safe Roads Advisory Committee-09 May 2019.pdf","Active Transportation and Safe Roads Advisory Committee","1685","22","1","52","41","116","0.0859474623820454","0.10104529616724739","0.0934963792746464"
"Special Council-19 Apr 2021.pdf","Special Council","6633","0","0","313","164","477","0.33833205814843154","0.4155052264808362","0.3769186423146339"
"Joint AAC and WDIAC-04 Mar 2025.pdf","Joint AAC and WDIAC","674","0","0","13","27","40","0.03437898495281816","0.03484320557491289","0.03461109526386552"
"Special Council-29 Apr 2024.pdf","Special Council","551","2","0","14","28","44","0.028105075235909206","0.03832752613240418","0.033216300684156694"
"Whitby Diversity and Inclusion Advisory Committee-06 Feb 2020.pdf","Whitby Diversity and Inclusion Advisory Committee","1757","8","0","50","49","107","0.0896199948992604","0.09320557491289198","0.09141278490607618"
"Committee of the Whole-12 Nov 2019.pdf","Committee of the Whole","5042","18","1","146","66","231","0.2571792909971946","0.20121951219512196","0.2291994015961583"
"Special Council-30 Oct 2017.pdf","Special Council","1034","1","0","25","29","55","0.05274164753889314","0.04790940766550523","0.05032552760219919"
"Regular Council-27 Nov 2023.pdf","Regular Council","11626","57","2","323","267","649","0.593011986738077","0.5653310104529616","0.5791714985955193"
"Property Standards Appeal Committee-24 Nov 2021.pdf","Property Standards Appeal Committee","1376","5","0","20","45","70","0.07018617699566437","0.06097560975609756","0.06558089337588097"
"Committee of Adjustment-18 Jan 2018.pdf","Committee of Adjustment","2312","1","0","47","50","98","0.11792909971945932","0.08536585365853659","0.10164747668899796"
"Committee of the Whole-07 Dec 2020.pdf","Committee of the Whole","4154","10","1","160","79","250","0.21188472328487631","0.21777003484320556","0.21482737906404092"
"Public Meetings-06 Dec 2023.pdf","Public Meetings","2971","14","0","70","69","153","0.15154297373119102","0.1332752613240418","0.14240911752761642"
"Special Council-24 Jun 2013.pdf","Special Council","2036","1","0","48","51","100","0.1038510584034685","0.08710801393728224","0.09547953617037537"
"Special Council-15 Oct 2013.pdf","Special Council","1715","4","1","59","34","98","0.08747768426421831","0.08536585365853659","0.08642176896137746"
"Special Council-30 Jun 2015.pdf","Special Council","3574","7","1","81","71","160","0.18230043356286663","0.13937282229965156","0.16083662793125908"
"Special Council-03 Jun 2024.pdf","Special Council","1735","5","0","55","75","135","0.08849783218566692","0.11759581881533102","0.10304682550049897"
"Regular Council-29 Feb 2016.pdf","Regular Council","6031","18","0","174","102","294","0.3076256057128284","0.25609756097560976","0.28186158334421907"
"Special Council-09 Sep 2013.pdf","Special Council","458","1","0","9","22","32","0.02336138740117317","0.027874564459930314","0.02561797593055174"
"Regular Council-07 May 2018.pdf","Regular Council","10196","36","0","337","214","587","0.5200714103545014","0.5113240418118467","0.5156977260831741"
"Regular Council-04 Apr 2011.pdf","Regular Council","573","1","0","13","29","43","0.029227237949502678","0.037456445993031356","0.033341841971267015"
"Regular Council-10 Apr 2017.pdf","Regular Council","6851","30","0","207","135","372","0.34945167049222137","0.3240418118466899","0.33674674116945563"
"Committee of the Whole-28 Oct 2024.pdf","Committee of the Whole","4130","19","4","127","74","224","0.21066054577913798","0.1951219512195122","0.2028912484993251"
"Animal Services Appeal Committee-20 Mar 2019.pdf","Animal Services Appeal Committee","1180","4","0","26","42","72","0.060188727365467994","0.0627177700348432","0.0614532487001556"
"Public Meetings-03 Sep 2019.pdf","Public Meetings","1052","7","0","18","23","48","0.05365978066819689","0.041811846689895474","0.04773581367904618"
"Committee of the Whole-18 Oct 2021.pdf","Committee of the Whole","4948","35","2","117","77","231","0.2523845957663861","0.20121951219512196","0.22680205398075404"
"Regular Council-09 Feb 2009.pdf","Regular Council","5093","11","2","180","86","279","0.25978066819688855","0.24303135888501742","0.251406013540953"
"Committee of Adjustment-09 Jul 2020.pdf","Committee of Adjustment","9475","24","2","161","172","359","0.483295077786279","0.3127177700348432","0.39800642391056107"
"Regular Council-21 Sep 2015.pdf","Regular Council","5825","37","3","163","110","313","0.29711808212190766","0.27264808362369336","0.2848830828728005"
"Special Council-05 Feb 2024.pdf","Special Council","969","3","0","24","33","60","0.049426166794185156","0.05226480836236934","0.05084548757827725"
"Committee of Adjustment-19 Jan 2023.pdf","Committee of Adjustment","3115","2","0","65","79","146","0.15888803876562102","0.12717770034843207","0.14303286955702654"
"Regular Council-27 May 2013.pdf","Regular Council","7257","17","4","242","158","421","0.37016067329762814","0.3667247386759582","0.3684427059867932"
"Committee of Adjustment-13 Feb 2020.pdf","Committee of Adjustment","3391","1","1","70","44","116","0.17296608008161182","0.10104529616724739","0.1370056881244296"
"Committee of the Whole-13 Nov 2023.pdf","Committee of the Whole","2604","21","0","95","39","155","0.13282325937260903","0.13501742160278746","0.13392034048769824"
"Ethno Cultural and Diversity Advisory Committee-07 Mar 2019.pdf","Ethno Cultural and Diversity Advisory Committee","1299","6","4","34","31","75","0.06625860749808722","0.06533101045296168","0.06579480897552445"
"Animal Services Appeal Committee-28 Oct 2020.pdf","Animal Services Appeal Committee","1937","2","0","40","77","119","0.09880132619229788","0.10365853658536585","0.10122993138883186"
"Special Council-05 Oct 2020.pdf","Special Council","1276","7","0","36","37","80","0.06508543738842132","0.06968641114982578","0.06738592426912354"
"Committee of the Whole-11 May 2020.pdf","Committee of the Whole","4181","18","1","144","55","218","0.21326192297883192","0.18989547038327526","0.2015786966810536"
"Regular Council-11 Mar 2013.pdf","Regular Council","6546","14","1","204","144","363","0.3338944146901301","0.3162020905923345","0.32504825264123227"
"Special Council-13 Jun 2017.pdf","Special Council","3032","37","0","69","67","173","0.15465442489160927","0.15069686411149827","0.15267564450155377"
"Special Council-16 Feb 2023.pdf","Special Council","5414","11","0","140","99","250","0.2761540423361387","0.21777003484320556","0.24696203858967214"
"Committee of the Whole-03 May 2021.pdf","Committee of the Whole","3766","18","4","131","72","225","0.19209385360877326","0.19599303135888502","0.19404344248382915"
"Regular Council-24 Mar 2025.pdf","Regular Council","7095","47","2","227","136","412","0.3618974751338944","0.3588850174216028","0.3603912462777486"
"Special Council-29 Apr 2019.pdf","Special Council","823","1","0","21","28","50","0.0419790869676103","0.04355400696864112","0.04276654696812571"
"Special Council-11 Jun 2018.pdf","Special Council","1128","4","0","30","28","62","0.057536342769701605","0.05400696864111498","0.05577165570540829"
"Public Meetings-21 Mar 2022.pdf","Public Meetings","2870","17","0","62","64","143","0.14639122672787555","0.12456445993031359","0.13547784332909457"
"Special Council-22 Jun 2015.pdf","Special Council","1329","2","0","47","42","91","0.06778882938026014","0.07926829268292683","0.07352856103159348"
"Brooklin Downtown Development Steering Committee-24 Jun 2021.pdf","Brooklin Downtown Development Steering Committee","1597","7","1","51","33","92","0.08145881152767151","0.08013937282229965","0.08079909217498557"
"Regular Council-11 Apr 2011.pdf","Regular Council","1058","0","0","43","25","68","0.053965825044631474","0.059233449477351915","0.056599637260991695"
"Animal Services Appeal Committee-25 Aug 2021.pdf","Animal Services Appeal Committee","763","1","0","32","23","56","0.03891864320326447","0.04878048780487805","0.043849565504071264"
"Special Council-21 Jun 2021.pdf","Special Council","2501","19","9","70","66","164","0.1275694975771487","0.14285714285714285","0.13521332021714577"
"Regular Council-16 Dec 2024.pdf","Regular Council","9421","21","0","324","228","573","0.4805406783983678","0.4991289198606272","0.48983479912949746"
"Active Transportation and Safe Roads Advisory Committee-09 May 2024.pdf","Active Transportation and Safe Roads Advisory Committee","950","8","0","29","25","62","0.048457026268808975","0.05400696864111498","0.05123199745496198"
"Special Council-29 May 2024.pdf","Special Council","1554","1","1","47","49","98","0.079265493496557","0.08536585365853659","0.0823156735775468"
"Heritage Whitby Advisory Committee-20 Feb 2019.pdf","Heritage Whitby Advisory Committee","1588","5","0","63","46","114","0.08099974496301963","0.09930313588850175","0.09015144042576069"
"Special Council-08 Sep 2015.pdf","Special Council","561","1","0","13","25","39","0.02861514919663351","0.03397212543554007","0.03129363731608679"
"Regular Council-10 Mar 2014.pdf","Regular Council","5691","12","1","192","122","327","0.290283091048202","0.2848432055749129","0.28756314831155744"
"Committee of the Whole-22 Nov 2021.pdf","Committee of the Whole","7719","15","1","241","99","356","0.393726090283091","0.31010452961672474","0.3519153099499079"
"Heritage Whitby Advisory Committee-09 Jan 2024.pdf","Heritage Whitby Advisory Committee","1196","5","0","37","48","90","0.06100484570262688","0.078397212543554","0.06970102912309044"
"Accessibility Advisory Committee-01 Oct 2019.pdf","Accessibility Advisory Committee","1481","6","1","54","39","100","0.07554195358326958","0.08710801393728224","0.08132498376027592"
"Regular Council-15 Apr 2019.pdf","Regular Council","10180","69","3","344","173","589","0.5192552920173426","0.5130662020905923","0.5161607470539674"
"Heritage Whitby Advisory Committee-09 Jan 2018.pdf","Heritage Whitby Advisory Committee","2113","11","0","89","52","152","0.10777862790104566","0.13240418118466898","0.12009140454285733"
"Regular Council-25 May 2009.pdf","Regular Council","449","3","0","13","18","34","0.022902320836521297","0.029616724738675958","0.026259522787598626"
"Accessibility Advisory Committee-06 Feb 2024.pdf","Accessibility Advisory Committee","724","0","0","24","19","43","0.036929354756439686","0.037456445993031356","0.03719290037473552"
"Committee of the Whole-21 Sep 2020.pdf","Committee of the Whole","7045","13","1","208","125","347","0.35934710533027286","0.30226480836236935","0.3308059568463211"
"Accessibility Advisory Committee-06 Feb 2018.pdf","Accessibility Advisory Committee","1538","12","0","51","34","97","0.07844937515939811","0.08449477351916376","0.08147207433928094"
"Regular Council-07 Nov 2011.pdf","Regular Council","2451","12","0","71","66","149","0.12501912777352717","0.1297909407665505","0.12740503427003885"
"Regular Council-23 Mar 2009.pdf","Regular Council","600","3","0","25","22","50","0.030604437643458302","0.04355400696864112","0.03707922230604971"
"Downtown Whitby Development Steering Committee-19 Sep 2019.pdf","Downtown Whitby Development Steering Committee","1730","10","0","59","44","113","0.08824279520530477","0.09843205574912892","0.09333742547721685"
"Committee of the Whole-16 Sep 2019.pdf","Committee of the Whole","9200","43","4","326","101","474","0.4692680438663606","0.41289198606271776","0.4410800149645392"
"Regular Council-12 May 2008.pdf","Regular Council","1241","6","0","58","43","107","0.06330017852588625","0.09320557491289198","0.07825287671938912"
"Special Council-18 Nov 2012.pdf","Special Council","416","0","1","12","22","35","0.02121907676613109","0.03048780487804878","0.025853440822089936"
"Whitby Diversity and Inclusion Advisory Committee-06 Feb 2025.pdf","Whitby Diversity and Inclusion Advisory Committee","1111","2","1","46","26","75","0.056669217036470286","0.06533101045296168","0.06100011374471598"
"Special Council-11 Jun 2020.pdf","Special Council","1069","1","0","28","41","70","0.05452690640142821","0.06097560975609756","0.057751258078762885"
"Whitby Diversity and Inclusion Advisory Committee-01 Oct 2020.pdf","Whitby Diversity and Inclusion Advisory Committee","1479","1","0","55","43","99","0.07543993879112472","0.08623693379790941","0.08083843629451706"
"Regular Council-17 Sep 2012.pdf","Regular Council","6623","41","0","218","110","369","0.3378219841877072","0.32142857142857145","0.3296252778081393"
"Active Transportation and Safe Roads Advisory Committee-08 Mar 2018.pdf","Active Transportation and Safe Roads Advisory Committee","12845","228","0","307","269","804","0.6551900025503699","0.7003484320557491","0.6777692173030595"
"Heritage Whitby Advisory Committee-11 Jun 2024.pdf","Heritage Whitby Advisory Committee","1124","5","0","44","35","84","0.05733231318541188","0.07317073170731707","0.06525152244636448"
"Special Council-03 Oct 2023.pdf","Special Council","794","2","0","29","25","56","0.04049987248150982","0.04878048780487805","0.04464018014319393"
"Regular Council-02 Apr 2013.pdf","Regular Council","6231","30","1","179","130","340","0.3178270849273145","0.2961672473867596","0.30699716615703704"
"Committee of Adjustment-01 Oct 2020.pdf","Committee of Adjustment","1154","1","0","15","36","52","0.0588625350675848","0.04529616724738676","0.052079351157485784"
"Public Meetings-13 Jan 2020.pdf","Public Meetings","8435","52","1","124","113","290","0.4302473858709513","0.25261324041811845","0.34143031314453487"
"Audit Committee-01 Jun 2018.pdf","Audit Committee","362","1","0","11","13","25","0.018464677378219843","0.02177700348432056","0.0201208404312702"
"Property Standards Appeal Committee-19 Feb 2020.pdf","Property Standards Appeal Committee","774","6","0","10","27","43","0.039479724560061207","0.037456445993031356","0.038468085276546285"
"Downtown Whitby Development Steering Committee-21 Jun 2018.pdf","Downtown Whitby Development Steering Committee","1863","11","2","69","45","127","0.09502677888293802","0.11062717770034843","0.10282697829164322"
"Regular Council-26 Mar 2012.pdf","Regular Council","5759","25","0","217","116","358","0.29375159398112727","0.3118466898954704","0.3027991419382988"
"Regular Council-10 Apr 2012.pdf","Regular Council","436","0","0","13","26","39","0.0222392246875797","0.03397212543554007","0.028105675061559886"
"Special Council-20 Jun 2022.pdf","Special Council","802","2","1","29","45","77","0.04090793165008926","0.06707317073170732","0.053990551190898295"
"Special Council-25 Feb 2016.pdf","Special Council","1594","2","0","48","43","93","0.08130578933945422","0.08101045296167247","0.08115812115056334"
"Active Transportation and Safe Roads Advisory Committee-14 Jun 2018.pdf","Active Transportation and Safe Roads Advisory Committee","1585","6","0","50","37","93","0.08084672277480234","0.08101045296167247","0.08092858786823741"
"Accessibility Advisory Committee-06 Jun 2023.pdf","Accessibility Advisory Committee","925","0","0","25","36","61","0.04718184136699821","0.05313588850174216","0.05015886493437019"
"Active Transportation and Safe Roads Advisory Committee-09 Mar 2023.pdf","Active Transportation and Safe Roads Advisory Committee","1947","19","0","62","66","147","0.09931140015302219","0.12804878048780488","0.11368009032041354"
"Regular Council-07 Apr 2008.pdf","Regular Council","5153","30","0","177","90","297","0.2628411119612344","0.2587108013937282","0.2607759566774813"
"Regular Council-30 Jan 2017.pdf","Regular Council","8253","24","8","233","122","387","0.42096403978576896","0.33710801393728224","0.3790360268615256"
"Regular Council-24 Jan 2011.pdf","Regular Council","1166","1","0","51","60","112","0.059474623820453966","0.0975609756097561","0.07851779971510503"
"Special Council-23 Jun 2016.pdf","Special Council","635","2","0","20","29","51","0.03238969650599337","0.04442508710801394","0.03840739180700366"
"Active Transportation and Safe Roads Advisory Committee-13 Jun 2024.pdf","Active Transportation and Safe Roads Advisory Committee","1118","7","0","36","38","81","0.0570262688089773","0.07055749128919861","0.06379188004908795"
"Heritage Whitby Advisory Committee-08 Dec 2020.pdf","Heritage Whitby Advisory Committee","1826","7","0","64","61","132","0.0931395052282581","0.11498257839721254","0.10406104181273532"
"Committee of the Whole-02 May 2022.pdf","Committee of the Whole","3448","8","0","118","54","180","0.17587350165774038","0.156794425087108","0.16633396337242418"
"Whitby Sustainability Advisory Committee-01 Jun 2022.pdf","Whitby Sustainability Advisory Committee","801","3","0","27","16","46","0.04085692425401683","0.04006968641114982","0.04046330533258333"
"Active Transportation and Safe Roads Advisory Committee-09 Sep 2021.pdf","Active Transportation and Safe Roads Advisory Committee","2063","24","0","58","41","123","0.10522825809742413","0.10714285714285714","0.10618555762014063"
"Special Council-22 Feb 2016.pdf","Special Council","564","0","0","12","22","34","0.028768171384850803","0.029616724738675958","0.029192448061763382"
"Regular Council-24 Apr 2023.pdf","Regular Council","7670","15","0","238","146","399","0.39122672787554197","0.3475609756097561","0.36939385174264905"
"Brooklin Downtown Development Steering Committee-28 Nov 2019.pdf","Brooklin Downtown Development Steering Committee","1352","3","0","44","47","94","0.06896199948992604","0.08188153310104529","0.07542176629548566"
"Active Transportation and Safe Roads Advisory Committee-13 Jun 2019.pdf","Active Transportation and Safe Roads Advisory Committee","1937","8","0","64","50","122","0.09880132619229788","0.10627177700348432","0.1025365515978911"
"Downtown Whitby Development Steering Committee-17 Oct 2019.pdf","Downtown Whitby Development Steering Committee","1532","10","0","58","40","108","0.07814333078296352","0.09407665505226481","0.08610999291761418"
"Regular Council-24 Jul 2009.pdf","Regular Council","1323","0","0","29","39","68","0.06748278500382555","0.059233449477351915","0.06335811724058873"
"Special Council-22 Oct 2012.pdf","Special Council","582","0","0","11","25","36","0.029686304514154552","0.0313588850174216","0.03052259476578808"
"Whitby Diversity and Inclusion Advisory Committee-01 Jun 2023.pdf","Whitby Diversity and Inclusion Advisory Committee","755","0","3","23","21","47","0.038510584034685026","0.040940766550522645","0.03972567529260383"
"Regular Council-26 Sep 2011.pdf","Regular Council","912","0","0","32","28","60","0.04651874521805662","0.05226480836236934","0.04939177679021298"
"Regular Council-15 Sep 2008.pdf","Regular Council","3972","19","0","112","77","208","0.20260137719969395","0.18118466898954705","0.1918930230946205"
"Special Council-09 Mar 2015.pdf","Special Council","377","1","0","14","19","34","0.019229788319306298","0.029616724738675958","0.024423256528991126"
"Downtown Whitby Development Steering Committee-19 Apr 2018.pdf","Downtown Whitby Development Steering Committee","1675","10","0","65","50","125","0.08543738842132109","0.10888501742160278","0.09716120292146194"
"Special Council-06 Feb 2014.pdf","Special Council","1063","1","0","21","38","60","0.05422086202499363","0.05226480836236934","0.05324283519368148"
"Downtown Whitby Development Steering Committee-18 Mar 2021.pdf","Downtown Whitby Development Steering Committee","847","2","2","24","23","51","0.043203264473348636","0.04442508710801394","0.04381417579068129"
"Regular Council-12 Jan 2012.pdf","Regular Council","293","0","0","6","21","27","0.014945167049222137","0.023519163763066203","0.01923216540614417"
"Special Council-15 Jun 2015.pdf","Special Council","1290","9","0","39","35","83","0.06579954093343535","0.07229965156794425","0.0690495962506898"
"Heritage Whitby Advisory Committee-11 Jun 2019.pdf","Heritage Whitby Advisory Committee","1529","24","0","51","48","123","0.07799030859474623","0.10714285714285714","0.09256658286880168"
"Committee of the Whole-25 Nov 2024.pdf","Committee of the Whole","5698","16","1","194","95","306","0.290640142820709","0.2665505226480836","0.2785953327343963"
"Special Council-18 Aug 2016.pdf","Special Council","1901","9","0","49","45","103","0.09696505993369038","0.0897212543554007","0.09334315714454554"
"Regular Council-11 May 2015.pdf","Regular Council","7318","21","0","231","123","375","0.3732721244580464","0.32665505226480834","0.3499635883614274"
"Regular Council-15 Dec 2015.pdf","Regular Council","5896","35","1","187","124","347","0.30073960724305027","0.30226480836236935","0.3015022078027098"
"Regular Council-04 Nov 2024.pdf","Regular Council","6780","15","7","191","94","307","0.3458301453710788","0.26742160278745647","0.30662587407926767"
"Accessibility Advisory Committee-06 Oct 2020.pdf","Accessibility Advisory Committee","1227","0","1","45","27","73","0.06258607498087222","0.06358885017421603","0.06308746257754413"
"Committee of the Whole-14 Jan 2019.pdf","Committee of the Whole","4158","2","1","143","67","213","0.21208875286916604","0.18554006968641115","0.1988144112777886"
"Special Council-07 Oct 2016.pdf","Special Council","499","0","0","3","19","22","0.02545269064014282","0.01916376306620209","0.022308226853172457"
"Whitby Sustainability Advisory Committee-06 Oct 2021.pdf","Whitby Sustainability Advisory Committee","1268","3","0","50","32","85","0.06467737821984187","0.0740418118466899","0.06935959503326589"
"Regular Council-29 Jun 2015.pdf","Regular Council","11447","58","3","363","198","622","0.583881662841112","0.5418118466898955","0.5628467547655037"
"Brooklin Downtown Development Steering Committee-22 Feb 2018.pdf","Brooklin Downtown Development Steering Committee","180","0","0","9","15","24","0.009181331293037491","0.020905923344947737","0.015043627318992614"
"Committee of the Whole-16 Sep 2024.pdf","Committee of the Whole","3301","8","3","96","59","166","0.1683754144350931","0.1445993031358885","0.1564873587854908"
"Regular Council-30 Aug 2010.pdf","Regular Council","648","0","0","20","22","42","0.033052792654934965","0.036585365853658534","0.03481907925429675"
"Ethno Cultural and Diversity Advisory Committee-04 Jan 2018.pdf","Ethno Cultural and Diversity Advisory Committee","358","1","1","17","10","29","0.01826064779393012","0.025261324041811847","0.021760985917870984"
